,Title,Review
68,Essenziale,"Indubbiamente il miglior libro introduttivo sull’analisi dei dati con R. Come è ovvio, è totalmente incentrato sul tidyverse. Ben organizzato, costruisce un ottimo percorso di apprendimento e stimola ad andare oltre. Come molti altri libri di questo gruppo è disponibile in una versione online gratuita, ma è sempre carino avere qualcosa da annotare (e da leggere su un’isola deserta)."
69,This book is easily one of the best resources for mastering R,"When I started my job as a research assistant, I started learning statistics to fill a niche. Later that introduced me into the R programming language. I've taken many free online classes, looked at videos, and worked through Github examples. This book(and the Wiley Series in general) have been the greatest resource I have used in developing R mastery.  The structure of the book is unique and very well planned, the information is still every relevant, and you will be referring to themes and concepts from this book for the rest of your career in Data Science. If you are on the fence, I highly recommend this book."
70,The go-to-book for beginner or intermediate-level user of R for data analysis,I am a research scientist and I use R on a daily basis. I found this book very useful to improve my R coding skills. I think it is a must have if you are a beginner or intermediate-level user of R for data analysis. You will not regret on this investment.
71,I love love love this book!,"In my opinion, this is the best book written about using R for data analysis! Very easy to read and follow, even some bit entertaining.There is some typos and errors in the book, like the wrong graph in the wrong place or typos. But you can look at the online electronic version of the book, it is the most updated and corrected. And it's free! Also, the author provided answer keys for the exercises. Just google it, you will find it. It helps you to compare your answer to the author's and learn more!In summary, I love love love this book! I now know why Hadley Wickham is famous for a reason."
72,Good for visualising data,"Great book. Step by step. The only thing I dislike is that there is no information about how to do descriptive statistics like summary tabs, frequencies tabs and so on. May be good if you only want to visualise the data through graphics, but not really relevant in my field (economics)."
73,Muy buen libro,Muy bueno el libro
74,The new bible for R,"Hadley Wickham transformed how we use R and accelerated its capabilities by a large margin. His work has been condensed into a single package called ""tidyverse"" which introduces tools that range from data transformation to data presentation. While his new book R for Data Science is written for beginners, even experienced users will find many resources that will make them better at R. This is because (clumsy) base packages are rarely used.If you use R, you must have read this book, no matter how experienced you are!"
75,Good book for a Data Science class,"I really like this book.  Like all R books, if you are a beginner, its hard to find a particular concept.  Googling the question is quicker.  But, it is a great logical tutorial.  I recommend it.  I have to confess I have only worked through the first six chapters.  I think this would be a good book for a class in Data Science.The one thing I don't like, (which is not the author's fault), is that you cannot cut and paste the code into R.  Or at least I don't know how.  The Kindle people could and should make this happen."
76,A vital resource for anyone who uses R,"I've been using R for at least 10 years, but I only recently began to explore the tidyverse. I bought this book as a guide to help me learn more about the tidyverse, which I did, but I also learned a lot more. Not only did I pick up some ggplot() tricks I didn't know, I learned even more about R notebooks and a workflow in R. If you use R seriously, you should read this book and keep a copy handy to refer to."
77,A good title to start with data science in r,"This is a good book to start with data science in r. It uses the tidyverse to show how to manipulate data in R, and how to do an Exploratory Data Analysis, helpful to get familiar with the data we are analyzing. I would recommend it to everyone that need an introduction to R and Data Science or just for a reference book."
78,Broad coverage of R data analysis tools,"The authors are mercifully brief in their explanations but generous in the code samples supplied.  They focus on important details but don't get bogged down in minutia, giving excellent references to on-line material for additional information.  I am still in the process of reading the text, but so far the coverage has been excellent.  I am new to the R code base, so this book is a treasure trove.  The print quality of the book is also refreshingly high, with carefully chosen fonts and effective  use of color."
79,Easy to learn from!,"I really enjoy learning from this book. It has an easy to follow conversational tone, and yet is packed with insights. I like that it contains reproducible code for the examples, so it’s easy to practice from. I do wish the end of section problems had answers in the back.This book is available to read online for free from Hadley’s website (easily found in a google search).  There are a few errors in this printed copy (just a few), but the one on his website has the corrections."
80,Good content - Poorly Printed,"The content of this book is useful, but is freely available online.  I prefer to read/work from print, so I purchased this book.  The book is small, printed in small font, and bound tightly so that it will not stay open to a page.  This made it a poor physical workbook in my hands  - especially as you try to type, and so I opted to continue to use the online version.  Bummer."
81,Easily the best book for learning R,"This is an excellent book for beginners, and teaches R in a consistent and fun way. Especially appreciate Hadley's ""tidyverse"" approach which makes things easier for beginners, since R can be a mess of inconsistency and mystery otherwise. The book is not so good as a reference however, as there is no summary of each chapter where you can quickly remind yourself of the commands. The book is available free online, so check it out there to see if this is what you need."
82,An essential book for data scientists,An online free version is available and has been continuously updated by the authors... but for people who like having a physical copy this book is really worth it. An essential book for data scientists
83,Great book if you're learning the capabilities or R,"I wouldn't say this qualifies as a beginner 'R' book, although I'm not sure if it's even advertised as being one. I was recommended this book after taking a college course in which we utilized the software, so I could had good foundation that made it easier to jump into it without any problems. This book contains an impressive amount of useful material, capabilities that you weren't even aware that 'R' was capable of, especially as a beginner-intermediate user of R."
84,The book is basically a college text,"The book is a college text.  It has exercises throughout each chapter that have you working issues and problems not previously explained.  And like a lot college texts, it has poor examples, examples that don't exist, examples that are not explained, and examples that are just plain wrong (can any of you remember those days with Calculus books? lol)It's not a beginners book, nor is it a reference.  To me it doesn't follow any learning patters for the language, like beginning with constructs and objects, how to setup R on your workstation, how to setup an R server, nor even syntax.  He jumps right in with a ton of graphics code with little explanation of the code itself.On the good side, it *is* an Oreilly book, and if you have patience beyond any normal measures it may be handy here and there.  Some things not explained elsewhere (other books, web) may be worked here."
85,"Good content, Bad Quality",Content is great. Quality of book is horrible. Pages are falling out.
86,Excellent primer for long time SAS user,"Made me realize how powerful that my old friend SAS is, and how easy it is to use R to perform the same data manipulations. The book has brief chapters filled with examples of each functional group. Not sure if the book would be as good for student or new comer who does not realize that tools like SAS and/or R are such necessary and powerful tools if they are not willing to climb steep learning curves to achieve the required end."
87,Intended for beginners but useful even for experienced,"The book is intended for a reader, that is not experienced in data science. As an experienced data scientist, that just needed to learn R syntax better, the book was unnecessarily verbose for me and sometimes it was really painful to read many pages explaining obvious. Nevertheless it was a well spend time, because:- There is usually more than one way to do given task in R. The book describes packages/commands that are generally considered to be the best/standard procedures.- The book describes best practices (coding style etc.) that are really beneficial.- The print quality is very high (nice paper, colorful graphs and even frequent code snippets are printed with colorful syntax highlighting)."
88,confusing,"I picked this up to try and help me learn Program R, as I am a neophyte. I have some limited R experience,  this was way over my head, and seemed hard to understand. I have since purchased R for Beginners, and R for Dummies, and hope to  tackle this book  again with a bit more introductory material under my belt."
89,I have bought other books on R and Python programming which I found boring and very dry,"Finally a book on programming that does not bore me to death. I have bought other books on R and Python programming which I found boring and very dry. This is not like those books. It is entertaining, I read some chapters in the evening on my bed and followed the exampled in my office to memorize the functions and learn how to use the methods. It is not a book on data science though, you will need a book on stats and machine learning to complete the data science package. Yet, this book will give you the tools to start straight away with R programming and with some data analysis."
90,plot examples fail on OSX,"First impressions: wow. Then... meh; disappointed that none of the plotting examples worked on OSX. Some google time later, a solution was found. Now, back to... nice! Hoping that the rest is smooth sailing. That ordeal points to the need for a support channel (Slack, mailing list, Google Group, etc) where one could send questions. None exists which explains my 1-star downvote."
91,Best R guide out there,Easy to read and follow and use as a reference as you work through your stuff.
92,"Great data wrangling intro for the novice, great recipe book for the experienced","I am a fan of the elegance and coherence of the Tidyverse. This book has proven to be an invaluable reference and recipe guide, especially when it comes to data wrangling. I'm an experienced developer and am very comfortable with R. However, I'm not always able to exercise the R muscles in my daily work. When I take on a new project, I like to quickly review the most pertinent sections of this book to re-sharpen my ""R wrangling toolbox""."
93,Balnced & Well Written,"I am truly enjoying learning r programming with this book. The tone and language are honest and empathetic to the challenges of learning. I've done my best to tackle the exercises throughout it and it has definitely given some comfort.isMy one request is for a binder style book, it's a pain to keep pages open between coding. Dear O'Reilly crew, knowing this I will be $5-10 more for that style :)"
94,Overall great book.,"Clear, workable examples with the right balance of detail."
95,"A must for statisticians, and data science practitioners","Very clear and concise. The best introduction to the Tidyverse I have read so far.If you liked the book, you will appreciate Tidy Modeling with R, by Julia Silge and Max Kuhn.Simply excellent!"
96,Great book.,"I was a bit sceptic buying a book about R having so much available on the internet. However, the book I bought was a great choice. I like the  writing style of Hadley. Lots of examples and good illustrations. I find it easy to read and practice writing R code."
97,Livro muito interessante para quem quer aprender a usar a biblioteca Tidyverse!,"O autor do livro é Hadley Wickam, criador do pacote ggplot2 (para visualização de dados, criar gráficos no R), participou da criação de outros pacotes que fazem parte da biblioteca Tidyverse, e atualmente trabalha na RStudio. Esse livro não é para quem quer aprender R do zero.  Aconselho para quem já sabe o básico e quer aprender a utilizar a biblioteca tidyverse. Muito bom, aborda como criar gráficos, como ""arrumar"" as bases de dados, como criar relatórios dinâmicos e muito mais. Hadley apresenta diversos exemplos que podem ser reproduzidos pelo leitor utilizando a base de dados ""mtcars"", que já vem disponível no R."
98,Required item for data scientist's book shelf,Pulls together a number of subjects in the practice of data science using R.  Can be read in a comfortable chair or while working on a project.  Paper edition is much better in the comfortable chair!Each chapter addresses a key area of applied data science and introduces an associated R package.  Several of these areas are revolutionizing how we manage data and report in a reproducible fashion.  In a few years we will wonder how we got things done without this!
99,I think it's always easy to criticize what is missing from a book like ...,"I think it's always easy to criticize what is missing from a book like this, but after reading a couple others, I found this to be good for my needs. I was taking an online course created by some Johns Hopkins analysts, and I spent so much time listening to their lectures and finding so much was missing it began to be a waste of time. This book was exactly what I needed to fill in many gaps, have some meaningful but not complicated practice, etc..."
100,"If you're new to R or programming, do not buy this book","This book is intended as an introduction to the tidyverse package in R, and not as an introduction to the language or statistical analysis as a whole. For someone who wants to start learning R from scratch, would not recommend this book. Furthermore, the exercises contains questions with solutions that were never actually taught in the text. One has to go online to search for the answers to find out."
101,Un básico,"Muy muy bueno.Hasta donde he llegado me parece un muy buen libro para comenzar en R en la ciencia de datos, no esperen técnicas de ML ni estadística compleja  puesto que se trata de un libro con las tareas previas a la modelización. Básicamente tratamiento de bases de datos,visualización y exploratoria es lo que cubre."
102,Great reference for code,"Great product to begin learning more about R (I used Rstudio ide). Cleaning, preprocessing data, and machine learning for R, visualization of data. Great reference and resource to have on the shelf."
103,Great Starter and Advanced R learning,"Book arrived in great condition. I learned so much R programming for data science. It's useful for self-studying rather than from some online courses; or even very good for learning in conjunction with taking courses.I highly recommend this book. The material is easy to understand, designed from basics to more advanced. Build up your skills with R pretty easily."
104,Great Book for Beginning R Users,"This book was recommended to me by an R instructor at my university. Even after reading through just a bit of it, it seems extremely straightforward and like it's going to be great at explaining data science and beginning programming which is great since I am just starting with programming of any sort. I am hoping to use some of the techniques in this book for my Ph.D. research. Great book!"
105,Analisi dati con Tidyverse,"Veramente un bel libro introduttivo all'ambiente Tidyverse pensato e sviluppato dall'autore in R.A mio avviso è necessaria una preparazione di base ad R per comprendere un minimo le nozioni dei vari argomenti trattati.Se il vostro obiettivo è fare analisi dati, in maniera elegante e produttiva, non andate oltre, studiatevi questo libro.Ogni capitolo presenta gradualmente un nuovo argomento, con tanti esempi a supporto. Alla fine dell vostra lettura avrete una visione di massima sui pacchetti R per fare analisi dati, sulle loro possibilità e sintassi."
106,"The book, being written by the celebrity of the R community, is really inspirational.","I have done several online R courses before I decided to purchase this book. The book, being written by the celebrity of the R community, is really inspirational. It was a good summary for some of the courses that I did online. I am halfway through reading the book. In simple language, the author nicely guided me in learning R. Interested in learning R? I definitely recommend you buying this book."
107,Perfect book for people who want to start learning data ...,Perfect book for people who want to start learning data science. There are some typos like picture diagrams not related to the code but overall helpful with lots of exercises.
108,Book on R,"Is book on R, sort of what you expect when ordering a book on R"
109,Fantastic book on R and data analysis in general,"If you are learning R or want to get a better understanding of the language, I can't recommend this book highly enough. Packed full of information and written very well.Bought two copies, first one when I was trying to fill in some of my knowledge gaps about R. Then bought another copy for other analysts in my team to use. We all write better code now :-)"
110,Great intro to Tidyverse R,This the Bible of the Tidyverse in R. If you have been trying to pick up R but haven't found a proper foothold yet. This book is the best next step for you. Of note this book is also available for free online r4ds
111,vbmvbmvm,vvbmvbmvbm
112,"Not a very good tool for beginners, perhaps a good reference manual","2 problems.  First, solutions to the exercises are not given in the book as others have stated here.  I managed to find solutions online.  Idea: if author is not motivated to include this, why not document where this can be found online?  Second, the exercises ask you to solve problems using commands before said commands are introduced.  Perhaps the positive reviews are from folks using this as a reference manual rather than learning from scratch.  Because it is not really useful as a learning tool for beginners."
113,I've found this book an excellent resource for taking a step back to fill in ...,I bought this book after enrolling on a Data Science course that dived straight into R Programming without first giving a solid grounding in R basics. I've found this book an excellent resource for taking a step back to fill in the necessary gaps to enable me to progress. The sequencing of the book makes perfect sense since you get to put together some quick visual examples first that encourage you to keep at it before going a bit deeper and learning programming concepts. Highly recommended.
114,A user friendly guide to R,It is an excellent book. Starts with data visualization and demonstrates the power and elegance of R without getting the reader bogged down in the rigmaroles of coding. I am still reading and doing the exercises given in each chapter. I am looking forward to reading more and learning more about this awesome language.
115,Easy to learn,"This book made learning R very easy! It gives you step by step instructions and has images to guide you  along. I used it in part of my thesis, and it truly is amazing!"
116,A nice book,"A very nice book on the subject,the think i loved is that the writer makes clear that not all things can be covered on one book and also provides external resources on some of the need to know subjects.It is well writen and as a person who had no expirience on the subject (i do now!)I would suggest the book to anyone who wants to take look on R for Data Science."
117,Great introduction and reference for Data Scientists,"Best book on the market for R programmers. Starts with the basics and methodically progresses to advanced topics, so beginners and advanced users can profit from using this book. I read it from cover to cover when I received it and still refer to it frequently.I am looking forward to their next book."
118,Great,"Nicely organized, color coded text, color figures, and a great tutorial on tidyverse/how to be introduced to R. Lots of solutions can also be found online in similar formats to hadleys site. Bought a copy for myself and will buy another for my lab when I leave."
119,"The Datacamp Course, on paper",This is a great book to reinforce all the basic R knowledge you need to create great data proyects. The book uses libraries available from the DSLABS and other CRAN sources and covers all fundamentals to be able to use R Studio proficiently.
120,Greate Book,The book will teach you how to do the analyst data.
121,Good book makes you motivated to read,"I love this book and is learning R systematically with the very-detailed guidance. I usually don’t buy books, but this time I feel worthy. Strongly recommend to somebody who hopes to arm themselves with abilities and knowledge."
122,Good for learning different ways to do same thing in R,Perfect for diving deep into the R language besides exploring over the internet
123,Good Format,"Love that there are so many examples, makes it easy to self teach although I use this for a CS class."
124,As described,Shipping was very fast. Product was exactly as described.
125,"R code heavy, but walks you through it",Talks about not only coding but what a data scientist is responsible for in a team and how to workflow through the project. Also very technical about r and it’s capabilities.
126,Essentiell,"Eines der Standardwerke, die man als R-Professional gelesen und durchgearbeitet haben sollte. Schwerpunkt ist die Arbeit als Data-Scientist mit R und dem Tidyverse-Package und den vielen darin enthaltenen Packages wie dyplr, readr, modelr, lubridate etc.Das Buch ist vom Autor auch online verfügbar gemacht worden, leider darf ich hier keinen Link posten, also googlen! Dort findet sich immer die aktuelle Version, aus der heraus die Printversion erstellt wird. Aber zum Arbeiten ist das gedruckte Werk natürlich besser zu gebrauchen."
127,For uni,I needed this for my university study as it was suggested by my professor. It has many examples of the commands I need to use. So has been very useful.
128,Great for beginners and to refresh the tidyverse in R,"Great book to start to learn R! The first chapter focuses on visualization and you'll be able to write some code for scatterplits, bar charts and more within the first 20 minutes. I love the training excercises. Some are easy, some are hard and challenging."
129,the book is great!,for those that want to learn R this is a good book. Very detailed.
130,"Written by the master himself, it's a no-brainer.",Introduces the concepts of the tidyverse in a way that makes them intuitive and easy to implement. I would say you need some base level of experience in R or other languages but not much - the tidyverse is a great place to start for beginners.Worth noting that the book is made available for free online but is beautifully reproduced in book form for ease of reference.
131,"Excellent introduction to the ""tidy"" approach to use R","Excellent introduction to the ""tidy"" approach to use R.  It has bundled several R packages and created a user interface to R and particularly RStudio that makes is much easier to use R for statistics, graphing, and data and text mining.  Strongly recommend new R users to adopt this approach."
132,Excellent book for beginners,Excellent book for beginners. The fundamentals provided here were good enough for me write quite a few tools at work. I have since ventured into machine learning and AI but I still find myself referencing this book every now and then. Highly recommended
133,Super recomendado!,"O livro é excelente. Com uma abordagem aplicada e bem didática, os autores apresentam o universo do tidyverse de forma bastante descomplicada. O tidyverse, por sua vez, é um pacote de ferramentas incríveis, que nos possibilitam fazer muito do trabalho de um cientista de dados com poucas linhas de código e de forma bastante intuitiva. Ao final de cada capítulo há uma lista de exercícios para testar os conhecimentos adquiridos, embora o nível de dificuldade exija do leitor algum conhecimento prévio (básico) de programação em R (e, sobretudo, de lógica de programação). Super recomendo a compra!"
134,"if you want to learn R with a book, get this one","learning on internet is definitely easier and better, but if you need a reference book, this is as good as any"
135,Good book about ggplot2 package,It is a very good book about ggplot2! Already recommended my several friends to buy it.  — A stat major grad studnet
136,What a great book,"I am an architect that got into studying data analysis as kind of a weird mid-life crisis. After some Coursera classes and a few books, I am really starting to finally understand R.  But, this books and the Tidyverse set of packages is a game changer. So much more clear and intuitive. I highly recommend this book!  Buy it."
137,Great book. Hadley Wickham is arguably the most important ...,"Great book. Hadley Wickham is arguably the most important single person in data science in the past 10+ years ... I would make that case ... and this book shows you how to use the dead-on tools he's built, with a singular focus on what's necessary and useful for data manipulation and visualization."
138,Literally changed my life - this is an amazing book!,"This book literally changed my life as it caused me to realize that data science is my calling.  The writing is lucid, the examples are instructive, and the tools the book teaches border on magical.  I can't recommend this book highly enough!"
139,"it puts my knowledge in much better context, helps me understand _why_ the tidyverse does ...","As a practicing R user, I am familiar with many of the things in this book.  That said, it puts my knowledge in much better context, helps me understand _why_ the tidyverse does things the way it does, and taught me multiple new tips and tricks."
140,Good book,"Still reading but it’s good. R is tough and so vast with its ecosystem of packages. One of the most important packages is tidyverse and this is used in the book. To master R you’ll need a lot of patience and you’ll be frustrated in the beginning. But all good things in life require sweat, persistence and hard work."
141,Great book by O'Reilly,"Great book and as always, the O'Reilly series is great.  I'm using this for a Data Science program that I am enrolled in and it is actually recommended by the university."
142,Recommended,"Good intro, well written with helpful examples"
143,Excellent book. After watching R YouTube videos (Roger Peng,"Excellent book. After watching R YouTube videos (Roger Peng, Google Developers) the book brings it all together and shows so much more. Amazing resource to learn R. I could be wrong but the book is more detailed than the online version, but very grateful to have a digital resource as well."
144,Great,Great
145,One of my best book purchases so far,One of my best book purchases so far. I was so excited by author’s style that I finished the book in a week!!Definitely a must have if you are looking for r programming!
146,A great introduction to the Tidyverse,A great introduction to the Tidyverse. Coming from SAS programming with only a little R experience this provided a good introduction to me to using R and the Tidyverse in a consistent manner that is focused on getting you programming and giving you useful tools.
147,Excellent condition,As promised.
148,concise and to the task,"A MUST. If you do any kind of work with R this book is great. Concise and to the task, from wrangling data to plots, every step is covered and is a good base for more advanced techniques"
149,"Gets an ""A+"" in Teaching Data Visualization in R","If you want to get started in R and learn about cleaning, wrangling and visualizing the data, get this book. Recommended."
150,Great resource,"Perfect condition! Great book- easy to read, and well organized."
151,State of the Art des Datenjudo mit R,"Hadley Wickham zeigt einmal mehr, dass er einer der führenden R-Köpfe ist. Alle Aspekte der Datenanalyse werden angesprochen oder besser gesagt alle Schritte. Vom Einlesen, über Aufbereiten, Visualisieren, Modellieren und Berichten. Das Modellieren wird allerdings nur kurz abgehandelt. Kein Vergleich zu Klassikern wie Hastie o.ä.Sein ""tidyverse""-Ansatz wird konsequent durchgezogen. Elegant und mächtig. Einfach geschrieben. Kaum Mathe - die theoretischen Hintergründe der Datenanalyse sind nicht Gegenstand des Buches."
152,but I still enjoy the physical copy,"It's free on the INTERNET, but I still enjoy the physical copy.  It's very accessible and wouldn't be a bad book for beginners who want to learn the language without the stats."
153,"Exemplos que consolidam conhecimentos, Um livro para os que desejam crescer em suas habilidades de análise no R.","Gostei do livro, inclui uma abordagem interessante que ajuda na compreensão e aprendizado do uso do R como ferramenta de análise. Através de exemplos torna o aprendizado mais fácil, porém em minha opinião é preciso uma certa familiaridade com o uso do software e também das técnicas envolvidas na análise o que não chega a ser problema pois entendo que essas devem ser características daqueles que irão se interessar pelo livro. Se você é da área e lida bem com o R eu recomendo o livro, certamente irá enriquecer suas habilidades e ajudar em futuros trabalhos."
154,Gives bascis of the R programming,It explains R programming in easy and simplest way for the beginners. For intermediate users it is not a best suggestion.
155,Good book,Arrived the next day and was in great condition! Exactly what I expected! Thanks
156,This is a fantastic book covering data manipulation in R,This is a fantastic book covering data manipulation in R. Hadley Wickham writing style is crystal clear and his tools to manipulate data are very intuitive and useful.
157,Well-written book on a really powerful language,This book changed my work life! Accessible and well written.Unsolicited advice: Do all the exercises. Get involved in the R community.
158,handy for a beginner,"Handy for a beginner. s codes evolve quite fast some are outdated, but that's ok. Recommended."
159,Great book,"Awesome book. Very useful, simple to understand and follow."
160,Not a beginner R book,would have liked a more basic approach to learning R. Book jumps right into concepts that a novice user would still find a bit overwhelming.
161,Easy to follow,Very intuitive with detailed cases and examples. Easy to follow. I’m now on my 100th page and can honestly say that I didn’t get bored! This book is written by the true expert in R.
162,Awesome!!!!!!!!!,Nothing to say but its great!!
163,Well written and useful,Really good book and well written. I'm already familiar with R programming so always great to learn more and more !
164,"Statisticians are supposed to be sticklers for detail, so ...","Statisticians are supposed to be sticklers for detail, so it is disappointing to find multiple errors on every page.  The extremely narrow focus on ggplot2 and a package called 'tidyverse' also limits the utility of this book for teaching. The title is not a fair indication of content."
165,Not the Best for Beginners,"Not perfect for beginner. The best parts are in the exercises, with no direct answer. I had to look through the internet myself for the solutions. Still a good book, but probably wouldn't recommend if you want to get the gist of R asap."
166,Amazing!,Amazing! Clinician working in research and this has transformed what I can do with data.Perfect as a beginner.
167,Needs more specif examples to understand,Explanations without enough examples to make the description concrete.
168,Excelente libro para utilizar y profundizar en el uso del paquete tidyverse,"Hadely Wickam, autor de ambos la colección de paquetes incluídos en tidyverse y el libro, hace un excelente trabajo en explicar el uso de los mismos desde un nivel principiante a un nivel avanzado. El libro incluye muchos ejemplos y ejercicios que clarifican mucho el uso que se puede hacer de las distintas funciones contenidas en esos paquetes de R."
169,R starting point,"if you want to start working on R programming, then this book is the way"
170,Great book,Great book. I wish I'd bought it two years ago!
171,Liest sich wie ein guter Roman,"Die klare Sprache und vor allem die klare Denkweise, die dem Buch und der vorgestellten tidyverse-Bibliothek zugrunde liegen, machen es zu einer spannenden und erfrischenden Lektüre. Selbst als langjähriger R-Nutzer habe ich vieles dazugelernt und bin nun in der Lage, sehr viel schlankeren und übersichtlicheren R-Code zu schreiben."
172,Great book for someone with a basic working knowledge of ...,Great book for someone with a basic working knowledge of R. Don't jump into it if you've never even opened the program before.
173,Buono,Utile nello studio
174,I bought copies for two of my students since they were working on a research project with me -- they love it!,Required reading. This is my go-to resource for basic questions. I bought copies for two of my students since they were working on a research project with me -- they love it!
175,My one complaint. The errata page listed by O'reilly ...,My one complaint. The errata page listed by O'reilly does not exists!!!See page 126 and 127 where the examples listed will not work.read_csv() inlineread_csv() col_names=FALSEWill result in errors.
176,Four Stars,"Nice exposition of R tidyverse.  You get it it only line for free, but found a kindle version useful."
177,A must read book for every data scientists,"If I can only choose one data science book to read, then I will choose R for data science. It teach your the elegant way to do data science."
178,Buen libro,Un buen libro de introducción a Data Science y herramientas dentro de R
179,Excellent content.,Very useful book for R studio.
180,Written by that dude from New Zealand,The final word on tidyverse. Hadley had me a tidy.
181,Confusing,"Brought for a course and wasn’t really that helpful. It is a nice guide but a little confusing, but then R is confusing. It may be useful in the future"
182,Essential book,It is a must-read for all who work or are interesting in data science and statistics
183,Best,Very good
184,Great Guide,"Well written and easy to follow. Thorough, though a bit rushed in the last section. Well worth reading and working through the examples and exercises."
185,Highly recommended for beginners and not quite beginners,"Excellent book. Easy to read and follow. Hadley is not only genius in R, but also in explaining complicated stuff."
186,It's a very good book. You will learn almost everything you need ...,It's a very good book. You will learn almost everything you need to know about dealing with data in R after reading this book.
187,A great introduction to the philosophy that defines modern R programming ...,A great introduction to the philosophy that defines modern R programming style. There is no better source than from Hadley himself.
188,Bom estado,Livro em bom estado
189,Excelente livro introdutório,"É um excelente livro introdutório do assunto. Possui linguagem bem simples, que é de fácil entendimento e ainda assim consegue ter um certo grau de detalhamento dos conteúdos de modo que estes não são abordados superficialmente."
190,"Buen libro, me sorprendió","Compre el libro por equivocacion buscaba algo de series de tiempo con transformadas de Fourier y confundí la compra, pero para mí sorpresa me ayudó en algunos puntos para mejorar el orden y estructura de mi codigo."
191,"Rather W than R, but consistent and detailed...","The title is somewhat misleading. It's rather about <W> than about <R>.But if you like <W> (and snake_case) it's consistent, well-conceived, goes into details and contains many tips and tricks for the data preparation process."
192,Hadley Thanks !!!!,The Best R book for somebody coming for Excel world.
193,Great book to dig deeper into R,Very well written with examples. It is very thorough and provides a lot of useful information.
194,El mejor autor sobre R,"Excelente libro, de lo mejor para estudiar el lenguaje R, el autor es la neta del planeta, recomiendo todos sus libros, estudiarlos todos te arma para convertirse en experto en el lenguaje"
195,Perfetto,Fornisce un ottima guida per quello che riguarda data visualization e il pacchetto tidy. Un vero must del settore
196,Best book to learn how to handle data in R,"Really enjoyed this book. Full of  examples. Is a learning by doing book.High quality printing, full color code and graphs. The book stay open."
197,Very easy to follow.,Is to follow. Very well written.
198,Covers basics very well,Easy step by step coding for data science...really would recommend..👍
199,Excellent beginner's guide to R,I wish I had started reading this book earlier!! This helped organize lots of important concepts into one place. Easy to read and utilize in actual work.
